"dis3l2_yg_cKO_1_1_S11_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_2_S14_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_3_S9_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_4_S12_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_1_S15_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_2_S10_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_3_S13_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_4_S16_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_1_S6_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_2_S1_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_3_S4_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_4_S7_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_1_S2_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_2_S5_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_3_S8_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_4_S3_L001_R1_001_cutadaptAligned_genes_yes.txt"
"ENSMUSG00000000823" 3785 3471 3874 3907 4800 5087 3913 3544 1611 950 968 1265 1859 1198 1429 1627
"ENSMUSG00000000826" 4051 3595 3871 4262 4325 4512 4000 3731 651 542 651 600 1403 1156 1239 1003
"ENSMUSG00000000827" 2667 2344 2665 2747 2798 2583 2905 2751 3483 3362 3851 4455 4348 3384 3408 2842
"ENSMUSG00000000838" 3263 3156 3937 3449 3047 3097 3950 3107 1091 488 919 748 1761 978 1270 1277
"ENSMUSG00000000861" 1 0 0 0 1 8 5 6 0 0 0 0 9 45 28 5
"ENSMUSG00000000869" 0 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000876" 279 235 243 374 368 286 280 310 139 115 111 146 151 117 121 135
"ENSMUSG00000000881" 1196 1205 1159 1393 1033 1482 1167 1056 1 14 34 12 25 51 15 5
"ENSMUSG00000000884" 223 218 292 336 297 355 347 389 241 250 232 320 378 268 302 308
"ENSMUSG00000000889" 0 0 0 0 59 56 26 18 103 55 63 29 72 57 52 19
"ENSMUSG00000000901" 20 25 32 29 13 11 5 10 26 1 5 8 1 7 24 12
"ENSMUSG00000000902" 2098 1805 1857 2150 1989 2290 2127 1925 2100 2278 2417 2842 3020 3601 2570 2159
"ENSMUSG00000000903" 0 0 0 0 0 0 0 0 3 0 0 0 2 0 1 0
"ENSMUSG00000000915" 3684 3451 4079 3780 3472 3676 3160 3396 3443 2194 3301 3288 3813 2682 2680 3040
"ENSMUSG00000000916" 131 128 93 106 112 112 113 139 135 105 75 173 179 188 133 120
"ENSMUSG00000000934" 16 1 21 20 5 17 8 28 0 14 10 6 0 10 17 21
"ENSMUSG00000000938" 15 86 69 44 90 116 49 77 9 3 2 13 3 13 20 1
"ENSMUSG00000000942" 9 2 11 14 10 13 10 19 1 2 0 6 10 3 0 1
"ENSMUSG00000000948" 14 96 70 23 9 20 0 55 43 16 0 9 64 41 74 113
"ENSMUSG00000000957" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2
"ENSMUSG00000000958" 49 44 27 41 23 8 51 34 73 121 39 49 39 56 19 19
"ENSMUSG00000000959" 669 760 692 751 1040 1123 929 855 1070 946 1213 1133 1705 1519 1570 1250
"ENSMUSG00000000976" 3420 3941 3840 4306 3809 3533 3354 3316 3392 2566 3108 3437 3657 2592 2505 2592
"ENSMUSG00000000982" 4 21 24 27 39 16 13 5 4 19 27 10 9 17 9 9
"ENSMUSG00000000983" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000001014" 0 8 0 8 0 5 20 7 10 15 0 0 2 0 0 1
"ENSMUSG00000001016" 613 779 905 737 628 695 662 810 1173 1042 1133 1252 1677 1387 1410 1029
"ENSMUSG00000001017" 638 846 722 807 766 860 839 719 1095 1170 1047 1115 2021 1352 1238 1196
"ENSMUSG00000001018" 738 782 676 807 776 723 797 779 494 396 496 524 739 727 563 475
"ENSMUSG00000001020" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000001021" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000001023" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000001025" 12 30 45 80 36 10 21 42 0 11 4 12 3 0 10 0
"ENSMUSG00000001027" 5 3 0 0 0 4 0 6 5 0 0 0 0 0 0 3
"ENSMUSG00000001029" 0 0 0 0 0 0 0 0 0 2 0 0 12 0 0 0
"ENSMUSG00000001034" 128 365 121 148 156 112 95 159 147 106 85 209 218 100 95 144
"ENSMUSG00000001036" 15932 13751 18392 16555 16502 17663 17219 15085 20292 17212 19136 21450 27935 18988 21156 19544
"ENSMUSG00000001039" 155 78 101 161 152 136 172 147 311 277 389 434 555 315 283 244
"ENSMUSG00000001052" 5131 5028 5775 5162 4610 4572 4345 4227 3741 2923 3515 3659 3929 2865 2725 2875
"ENSMUSG00000001053" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000001054" 100 200 203 150 182 129 114 206 164 83 91 93 222 79 170 132
"ENSMUSG00000001056" 416 444 435 468 437 430 392 362 436 400 600 745 677 629 631 509
"ENSMUSG00000001062" 1247 1420 1221 1263 1296 1607 1240 1189 1686 1445 1318 1884 1738 1065 1389 1436
"ENSMUSG00000001065" 607 998 785 626 895 823 777 700 841 652 696 841 882 638 664 730
"ENSMUSG00000001076" 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000001082" 295 267 262 314 296 276 300 328 433 353 347 364 369 343 346 325
"ENSMUSG00000001089" 17455 17383 21472 19442 18576 19149 19751 18736 7882 6377 7338 8671 13555 7680 9626 7416
"ENSMUSG00000001095" 0 0 0 0 0 1 0 3 0 0 4 0 0 0 0 0
"ENSMUSG00000001098" 4724 3929 5780 5001 4759 5247 4723 4477 4306 3238 4273 4299 4862 3756 3717 3846
"ENSMUSG00000001100" 353 441 378 300 367 360 251 318 380 298 315 378 386 335 329 269
"ENSMUSG00000001103" 1090 1951 1443 1732 1612 1720 1552 1211 1984 1518 1881 2085 2960 1812 1603 1342
"ENSMUSG00000001105" 112 169 190 141 129 132 123 140 261 197 259 218 326 240 298 173
"ENSMUSG00000001119" 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1
"ENSMUSG00000001120" 756 617 883 894 754 993 900 786 1112 767 1048 1283 1909 1348 1572 1399
"ENSMUSG00000001123" 1 4 30 22 6 0 7 38 4 0 12 25 65 25 12 7
"ENSMUSG00000001127" 640 597 530 597 687 737 716 631 176 340 270 270 367 303 286 193
"ENSMUSG00000001128" 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0
"ENSMUSG00000001131" 0 5 1 0 0 0 0 2 0 0 0 0 8 1 0 0
"ENSMUSG00000001134" 71 61 84 58 125 67 104 84 39 44 53 112 76 81 53 61
"ENSMUSG00000001138" 120 509 277 215 354 222 229 275 90 41 48 49 37 88 62 61
